dataType;googleKey;qscKey
string;id;property
string;offerId;
string;title;property
string;description;property
string;link;property
string;imageLink;property
list;additionalImageLinks;property
string;contentLanguage;
string;targetCountry;
string;feedLabel;
string;channel;
string;expirationDate;
bool;adult;attribute
string;kind;
string;brand;property
string;color;attribute
string;googleProductCategory;category
string;gtin;property
string;itemGroupId;
string;material;attribute
string;mpn;property
string;pattern;
object;price;property
object;salePrice;
string;salePriceEffectiveDate;
object;productHeight;
object;productLength;
object;productWidth;
object;productWeight;
list;shipping;
object;shippingWeight;
list;sizes;attribute
list;taxes;
list;customAttributes;attribute
bool;identifierExists;
object;installment;
object;loyaltyPoints;
string;multipack;
string;customLabel0;
string;customLabel1;
string;customLabel2;
string;customLabel3;
string;customLabel4;
bool;isBundle;attribute
string;mobileLink;
string;availabilityDate;
string;shippingLabel;
object;unitPricingMeasure;
object;unitPricingBaseMeasure;
object;shippingLength;
object;shippingWidth;
object;shippingHeight;
string;displayAdsId;
list;displayAdsSimilarIds;
string;displayAdsTitle;
string;displayAdsLink;
number;displayAdsValue;attribute
string;sellOnGoogleQuantity;
list;promotionIds;
string;maxHandlingTime;
string;minHandlingTime;
object;costOfGoodsSold;
string;source;
list;includedDestinations;
list;excludedDestinations;
string;adsGrouping;
list;adsLabels;
string;adsRedirect;
list;productTypes;
string;ageGroup;
string;availability;
string;condition;
string;gender;
string;sizeSystem;
string;sizeType;
string;additionalSizeType;
string;energyEfficiencyClass;
string;minEnergyEfficiencyClass;
string;maxEnergyEfficiencyClass;
string;taxCategory;
string;transitTimeLabel;
list;shoppingAdsExcludedCountries;
string;pickupMethod;
string;pickupSla;
string;linkTemplate;
string;mobileLinkTemplate;
list;productDetails;
list;productHighlights;
object;subscriptionCost;
string;canonicalLink;
string;externalSellerId;
string;pause;